Sample_Number,Sample_Name,melanin_hull,melanin_pericarp,ant_pericarp,ant_aleurone,Nud,BLP,Myc2,Ant2,Color_Raw,Red_mean,Green_mean,Blue_mean,Red_std,Green_std,Blue_std
15,OWB20,yes,yes,yes,yes,no,1,1,1,"[[98, 89, 68], [99, 90, 70], [99, 89, 69], [100, 91, 71], [101, 91, 71], [101, 91, 71], [100, 91, 71], [99, 89, 70], [100, 91, 71]]",99.66666666666667,90.33333333333333,70.22222222222223,0.9428090415820634,0.816496580927726,1.0304020550550783
16,OWB36,yes,yes,yes,yes,no,1,1,1,"[[114, 104, 80], [118, 108, 84], [115, 104, 81], [115, 105, 82], [117, 107, 84], [117, 106, 84], [121, 111, 86], [119, 108, 84], [121, 111, 86]]",117.55555555555556,107.11111111111111,83.44444444444444,2.5867659392939593,2.514157444218836,1.9499920860871383
17,OWB39,no,no,yes,yes,no,0,1,1,"[[173, 150, 99], [181, 159, 105], [176, 154, 100], [184, 163, 108], [176, 153, 99], [171, 149, 95], [172, 151, 99], [173, 151, 99], [177, 155, 102]]",175.88888888888889,154.0,100.55555555555556,4.067334492827361,4.320493798938574,3.6851386559504444
18,OWB49,no,no,no,yes,no,0,1,0,"[[177, 144, 86], [181, 148, 89], [177, 144, 84], [179, 145, 84], [179, 146, 84], [179, 146, 84], [181, 148, 85], [178, 144, 82], [179, 146, 84]]",178.88888888888889,145.66666666666666,84.66666666666667,1.3698697784375504,1.49071198499986,1.8257418583505536
19,OWB53,no,no,yes,yes,yes,0,1,1,"[[154, 112, 69], [153, 110, 69], [153, 111, 68], [153, 110, 68], [153, 111, 67], [152, 109, 66], [154, 112, 68], [152, 109, 66], [152, 109, 65]]",152.88888888888889,110.33333333333333,67.33333333333333,0.7370277311900889,1.1547005383792515,1.3333333333333333
20,OWB59,no,no,yes,yes,yes,0,1,1,"[[169, 125, 73], [167, 123, 71], [167, 123, 72], [165, 122, 71], [168, 124, 72], [167, 124, 72], [168, 124, 71], [169, 125, 73], [164, 120, 69]]",167.11111111111111,123.33333333333333,71.55555555555556,1.5947444549341472,1.4907119849998598,1.1653431646335017
21,OWB62,yes,yes,yes,yes,no,1,1,1,"[[127, 115, 90], [134, 121, 94], [133, 120, 94], [131, 119, 94], [136, 124, 98], [134, 121, 95], [128, 115, 90], [130, 118, 93], [131, 119, 94]]",131.55555555555554,119.11111111111111,93.55555555555556,2.7932900199947857,2.7261875880856214,2.3147407395555177
22,OWB64,yes,yes,no,no,no,1,0,0,"[[136, 121, 88], [137, 122, 90], [135, 120, 88], [132, 118, 87], [132, 118, 87], [133, 118, 88], [132, 117, 86], [135, 120, 89], [132, 117, 87]]",133.66666666666666,119.0,87.77777777777777,1.9436506316151,1.699673171197595,1.1331154474650633
23,OWB69,yes,yes,no,no,no,1,0,0,"[[118, 103, 76], [120, 105, 77], [118, 103, 75], [121, 106, 78], [122, 107, 80], [118, 104, 77], [121, 105, 77], [121, 106, 78], [120, 104, 77]]",119.88888888888889,104.77777777777777,77.22222222222223,1.4487116456005886,1.314684396244359,1.314684396244359
24,OWB85,no,no,no,yes,no,0,1,0,"[[174, 147, 91], [174, 148, 91], [178, 151, 95], [174, 148, 94], [173, 146, 92], [174, 147, 92], [176, 148, 94], [178, 151, 98], [174, 147, 93]]",175.11111111111111,148.11111111111111,93.33333333333333,1.7284832429004495,1.6629588385661962,2.1081851067789192
